"","Name","Round1","Round2","Round3","Round4","Round5","Decision","Draw","Salary","Round1Scaled","Round2Scaled","Round3Scaled","Round4Scaled","Round5Scaled","DecisionScaled","DrawScaled","SalaryScaled","Pred"
"11","Khalil Rountree",0.140034849,0.096273959,0.064182639,0,0,0.140034849,0.015101797,8000,1.02597387345215,1.10487975061503,1.18110732662005,0,0,0.676597741570238,0.988767407613402,0.992555831265509,46.9836666666667
"12","Sodiq Yussuff",0.158267831,0.113048451,0.079133915,0,0,0.344060502,0.015516454,9100,1.15955892960573,1.29739075494231,1.45624499470376,0,0,1.66237590342046,1.01591645000476,1.12903225806452,77.4833333333333
"13","Marlon Moraes",0.063775086,0.054664359,0.038265051,0,0,0.127550172,0.015005903,7000,0.467252062471707,0.627350780697098,0.704164440629962,0,0,0.616276297852796,0.982488892428376,0.86848635235732,45.7623333333333
"14","Thiago Santos",0.038770173,0.02982321,0.021538985,0.018912279,0.016856597,0.070491223,0.015203989,6600,0.284052040269062,0.34226348609326,0.396366578062633,4.46213781858058,5.28452342846349,0.340588093770316,0.995458274860448,0.818858560794045,46.702
"15","Azamat Murzakanov",0.243911878,0.118203448,0.069847492,0,0,0.178679631,0.015065145,8800,1.78703527043221,1.35655163145494,1.28535357586707,0,0,0.863315350875291,0.986367673129894,1.09181141439206,71.5436666666667
"16","Guido Cannetti",0.092132202,0.06526031,0.043506873,0,0,0.208832992,0.015355367,7600,0.67501220468068,0.74895429446149,0.800625952114994,0,0,1.00900548514574,1.00536952135844,0.942928039702233,56.8513333333333
"17","Cody Brundage",0.087347463,0.065510597,0.043673732,0,0,0.231213873,0.015414258,7900,0.63995652218205,0.751826691535575,0.803696539278175,0,0,1.1171418072619,1.00922532086375,0.98014888337469,60.693
"18","Miranda Maverick",0.12200857,0.083479548,0.061004285,0,0,0.45577914,0.015550112,9400,0.893903239451902,0.9580458011049,1.12261834495022,0,0,2.2021599550468,1.01812015684875,1.16625310173697,77.1353333333333
"19","Kamuela Kirk",0.130692634,0.087128423,0.052277054,0,0,0.224044516,0.015375604,8400,0.957527564703871,0.999921798954177,0.962017337640352,0,0,1.08250206730181,1.00669450844626,1.04218362282878,53.6076666666667
"20","Javid Basharat",0.17223042,0.119236444,0.070457899,0,0,0.206676504,0.015196802,8700,1.26185669064199,1.36840672056441,1.29658646050929,0,0,0.998586115103621,0.994987716862713,1.07940446650124,68.6736666666667
"21","Gillian Robertson",0.164567477,0.105323185,0.071811263,0,0,0.18370323,0.015488704,8500,1.20571367075875,1.20873240890385,1.32149145290114,0,0,0.887587564272361,1.01409956056033,1.0545905707196,61.2293333333333
"22","AJ Fletcher",0.118197107,0.080871705,0.048017575,0,0,0.109754456,0.015064337,6900,0.865978323007499,0.928117116822963,0.883633183718538,0,0,0.530293834621623,0.986314770547151,0.856079404466501,41.6903333333333
"23","Bruno Silva",0.154081263,0.090636037,0.059262024,0,0,0.077040631,0.015106006,7300,1.1288857834703,1.04017662717386,1.09055675845197,0,0,0.372232464389961,0.989042985547515,0.905707196029777,38.817
"24","Terrance McKinney",0.16843752,0.101062512,0.054140632,0,0,0.079786194,0.014862134,7200,1.23406777715077,1.15983516430532,0.996311434359061,0,0,0.385498031771255,0.973075833742369,0.893300248138958,36.747
"25","Karl Roberson",0.179114342,0.102692223,0.070017425,0,0,0.192547917,0.015101797,8200,1.3122921655921,1.17853840142112,1.28848073165969,0,0,0.930321892847212,0.988767407613402,1.01736972704715,63.928
"26","Alex Caceres",0.060872243,0.043963286,0.03440605,0,0,0.150731268,0.015516454,7100,0.445984205948839,0.504540843406026,0.633149997697285,0,0,0.72827896942152,1.01591645000476,0.880893300248139,52.5823333333333
"27","Song Yadong",0.278291283,0.159437714,0.085033448,0,0,0.177976984,0.015005903,9200,2.03891808079487,1.82977311323564,1.56480989260296,0,0,0.859920414709644,0.982488892428376,1.14143920595533,76.2826666666667
"28","Magomed Ankalaev",0.221543843,0.110771922,0.070491223,0.045611968,0.02982321,0.31016138,0.015203989,9600,1.62315449593683,1.2712643670809,1.29719969831262,10.7616267395742,9.3495414262432,1.49858760679142,0.995458274860448,1.19106699751861,84.0413333333333
