Player,NF,RW,Salary,Actual
R. Sandin,5.4,6.05,3800,5.8
I. Lyubushkin,4.2,3.62,2600,5.60
L. Eller,5.8,5.94,5800,5.6
E. Luostarinen,4.6,2.77,4600,5
J. Pavelski,10.6,10.34,8600,4.50
S. Kuraly,4.3,2.58,4000,4.5
T. Toffoli,8.5,9.19,8200,4.5
K. Okposo,8.6,5.57,6400,4.5
Y. Sharangovich,7.4,6.01,6000,4.5
O. Kase,8.4,7.55,7000,4.5
S. Girard,7.5,7.02,7400,4.30
N. Dowd,5.1,3.40,4400,4.3
L. Schenn,4.8,2.13,2000,4.3
J. Compher,6.2,6.31,5200,4.3
K. MacDermid,2.6,1.25,2000,4.3
J. Tavares,12.2,10.95,9400,4.3
J. Korpisalo,0.0,0.47,9200,4.2
J. Moser,5.1,4.57,4600,4.10
L. O'Connor,6.4,3.24,5200,4.10
J. Dickinson,4.2,1.60,3400,4.1
M. Dumba,9.2,8.42,8400,4.1
R. Hartman,8.8,11.14,9400,4.1
D. Severson,7.4,6.67,7600,4.1
R. Faksa,4.6,2.61,4400,3.00
N. Aube-Kubel,5.0,4.77,2000,3.00
E. Johnson,6.0,2.60,7000,3.00
A. Texier,5.9,5.17,2000,3
Y. Chinakhov,4.9,1.72,2000,3
D. Sprong,6.6,6.45,5000,3
A. Bjork,2.6,1.64,2000,3
T. Jost,4.9,2.17,3600,3
M. Maltsev,3.7,1.99,2000,3
C. Eakin,4.2,1.38,2000,3
W. Nylander,13.0,11.06,9200,3
J. Holl,5.2,5.73,4200,3
J. Vesey,3.5,2.02,2000,3
J. Hanley,2.6,1.55,3200,2.80
A. Khudobin,0.0,0.46,10200,2.80
T. Boyd,6.4,5.54,6200,2.80
A. Roussel,3.2,1.66,3000,2.80
R. Nash,2.5,1.54,2000,2.80
O. Juolevi,3.3,2.03,2000,2.8
M. Highmore,3.8,1.82,2000,2.8
B. Leason,4.0,1.24,2000,2.8
N. Suzuki,8.6,7.47,7400,2.8
B. Kulak,4.3,3.56,2000,2.8
C. Wideman,4.3,2.57,3000,2.8
J. Johnson,4.6,2.68,2000,2.60
N. Jensen,5.8,4.51,3600,2.6
J. Johnson,4.5,3.70,2000,2.6
J. Hayden,2.9,1.74,2000,2.6
J. Siegenthaler,4.3,4.50,4000,2.6
T. Smith,5.5,3.72,2000,2.6
M. Heiskanen,8.2,7.74,8000,1.50
J. Klingberg,8.2,7.65,7400,1.50
S. Reinhart,8.2,7.63,7600,1.50
M. Raffl,3.7,4.67,4000,1.50
F. Vatrano,6.2,3.27,4200,1.50
L. Glendening,3.8,2.32,2000,1.50
R. Lomberg,3.3,2.31,2000,1.50
O. Juolevi,2.6,1.57,2000,1.50
J. Compher,7.4,7.01,7200,1.50
C. Fischer,4.5,3.88,2000,1.50
N. Schmaltz,5.4,3.12,5800,1.50
R. Dzingel,0.0,2.46,2000,1.50
P. Laine,9.0,10.41,7800,1.5
G. Forsling,7.7,7.38,6200,1.5
J. Roslovic,6.4,5.75,4200,1.5
M. Mamin,0.0,2.35,2000,1.5
L. Foudy,0.0,2.33,2000,1.5
C. McMichael,5.3,3.59,2000,1.5
A. Protas,4.5,3.48,2000,1.5
G. Hathaway,5.7,3.08,3200,1.5
A. Lehkonen,6.2,4.99,2000,1.5
B. Duhaime,3.4,1.56,2800,1.5
A. Burakovsky,8.7,8.97,7200,1.5
P. Krebs,3.9,6.31,3800,1.5
R. Hagg,4.1,2.57,4600,1.5
N. Aube-Kubel,4.1,2.15,2000,1.5
V. Olofsson,7.3,0.00,6200,1.5
M. Bunting,9.2,6.62,6400,1.5
C. Primeau,5.7,9.11,9800,1.4
A. Schmid,6.8,2.88,9600,1.4
T. Kero,2.8,1.39,2000,1.30
V. Kolyachonok,3.8,0.68,4000,1.30
D. Kukan,3.8,2.06,2000,1.3
T. Poolman,3.5,3.36,2000,1.3
M. Irwin,4.0,2.60,2800,1.3
J. Lammikko,3.4,2.19,3000,1.3
D. Savard,5.2,5.46,7200,1.3
M. Samuelsson,4.2,4.33,5000,1.3
M. Pysyk,5.4,2.60,4200,1.3
T. Dermott,4.0,1.43,3600,1.3
J. Robertson,11.2,10.35,9200,0.00
M. Weegar,7.9,7.59,7200,0.00
E. Luostarinen,4.6,2.25,3000,0.00
J. Hakanpaa,3.7,2.19,2200,0.00
M. Mamin,0.0,2.06,2000,0.00
R. Gardner,2.5,0.99,2000,0.00
M. Marchment,6.1,0.00,2000,0.00
C. Priskie,4.0,0.00,2000,0.00
R. Damiani,3.8,0.00,2000,0.00
T. Dellandrea,3.3,0.00,2000,0.00
A. Heponiemi,3.3,0.00,2000,0.00
O. Tippett,5.4,0.00,2800,0.00
J. Thornton,4.6,0.00,2600,0.00
L. Carlsson,3.8,0.00,2400,0.00
S. Knight,0.0,0.55,10800,0.00
A. Newhook,7.4,5.50,5000,0.00
A. Galchenyuk,5.5,2.19,2000,0.00
D. Helm,0.0,1.50,2000,0.00
R. Murray,3.9,1.55,4200,0.00
D. Kuemper,0.0,0.67,10000,0.00
J. Jenik,5.6,0.00,2000,0.00
J. Barron,5.3,0.00,2000,0.00
J. Gross,4.2,0.00,2000,0.00
K. Vejmelka,0.0,0.50,9200,0.00
K. Sherwood,3.2,0.00,2000,0.00
L. O'Brien,2.7,0.00,2000,0.00
L. Eriksson,2.9,0.00,3600,0.00
F. Vatrano,8.0,3.84,5000,0
V. Gavrikov,5.0,5.91,2000,0
E. Robinson,5.1,2.96,2000,0
E. Bemstrom,5.2,2.16,2000,0
M. Marchment,6.5,0.00,3000,0
J. Thornton,4.9,0.00,3600,0
J. Dunne,4.7,0.00,2000,0
C. Priskie,4.6,0.00,2000,0
G. Bayreuther,4.3,0.00,3200,0
J. Danforth,4.3,0.00,2800,0
A. Heponiemi,3.6,0.00,2000,0
G. Carlsson,3.4,0.00,3800,0
L. Carlsson,3.3,0.00,2400,0
S. Knight,0.0,0.54,11400,0
C. Garland,9.0,7.65,7400,0
J. Carlson,9.7,5.94,9600,0
B. Hunt,3.4,4.70,2000,0
T. Oshie,7.5,4.53,7800,0
V. Podkolzin,4.1,1.75,2000,0
V. Vanecek,0.0,0.75,10400,0
S. Martin,0.0,0.43,5000,0
C. Sheary,7.1,0.00,6200,0
M. Kempny,4.5,0.00,2000,0
M. Sgarbossa,4.4,0.00,2000,0
L. Johansen,4.0,0.00,2000,0
A. Alexeyev,3.9,0.00,2000,0
K. Burroughs,3.5,0.00,2200,0
D. Cholowski,3.1,0.00,2000,0
S. Rempal,2.6,0.00,2000,0
J. Bailey,1.9,0.00,2000,0
C. Dvorak,5.9,6.66,5800,0
J. Anderson,6.4,6.63,7000,0
B. Chiarot,6.5,6.05,7600,0
D. Kulikov,4.5,2.79,3600,0
K. Kahkonen,0.0,0.81,10800,0
M. Pezzetta,3.7,1.44,2000,0
L. Vejdemo,4.7,0.00,2000,0
C. Addison,4.9,0.00,2000,0
J. Lizotte,5.6,0.00,2000,0
V. Rask,5.8,0.00,2000,0
K. Clague,5.1,0.00,3200,0
S. Niku,4.2,0.00,2000,0
J. Armia,4.4,0.00,2000,0
P. Byron,4.0,0.00,2600,0
D. Mermis,3.1,0.00,2000,0
J. Dea,3.9,0.00,2000,0
C. Mittelstadt,4.1,6.28,4000,0
M. Jankowski,0.0,2.21,2400,0
H. Jokiharju,5.8,5.33,2000,0
W. Butcher,4.3,2.38,2000,0
T. Thompson,10.2,5.08,8400,0
M. Houser,0.0,0.60,9800,0
P. Francouz,0.0,0.67,10400,0
A. Ruotsalainen,4.5,0.00,2000,0
J. Gross,4.5,0.00,2000,0
R. Murray,3.2,0.00,2600,0
J. Barron,5.1,0.00,2000,0
K. Sherwood,3.8,0.00,2000,0
R. Asplund,5.7,0.00,2800,0
C. Anderson,0.0,0.35,10000,0
R. MacInnis,2.8,0.00,2000,0
E. Prow,4.6,0.00,2000,0
B. Murray,3.7,0.00,2000,0
P. Engvall,7.4,3.11,3200,0
T. Tatar,6.8,5.45,5800,0
D. Kampf,4.3,2.05,2000,0
W. Simmonds,4.1,1.56,2000,0
