Player,NF,RW,Salary,Actual
D. Kuemper,12.0,10.92,10000,27.2
N. Kucherov,9.7,13.17,9400,24.8
O. Palat,8.4,9.30,7200,7.8
V. Hedman,11.4,10.04,8200,11
S. Stamkos,10.7,10.95,8400,4.3
B. Point,9.2,10.97,8000,24
G. Landeskog,10.9,10.37,8600,10
D. Toews,9.5,8.30,7600,28.1
C. Makar,9.9,10.19,8800,5.8
M. Sergachev,6.9,8.48,6800,25.2
V. Nichushkin,9.7,6.58,7000,22
A. Cirelli,7.1,7.14,5600,12
A. Burakovsky,7.5,6.71,5800,12.3
A. Killorn,8.6,6.72,6000,10.5
R. McDonagh,5.6,6.98,5400,4.1
S. Girard,6.2,5.71,6200,4.1
A. Newhook,5.9,4.89,4800,4.5
C. Perry,7.4,5.33,2000,1.3
J. Compher,6.0,5.18,2200,1.5
R. Colton,5.0,3.84,5000,6.9
L. O'Connor,5.2,2.38,2000,1.5
E. Johnson,5.0,2.37,5200,17.3
J. Rutta,4.2,4.31,2000,6.5
J. Johnson,4.4,2.75,3200,8.6
M. Joseph,5.7,2.85,2000,3
P. Bellemare,4.3,2.39,2000,0
N. Aube-Kubel,3.6,1.50,3000,2.8
D. Sikura,3.0,1.71,4000,0
T. Jost,4.1,1.93,3600,7.1
R. Murray,3.1,1.36,2400,1.5
P. Maroon,0.0,1.76,4400,0
T. Raddysh,3.3,1.31,2000,0
K. MacDermid,1.6,1.32,4200,0
C. Foote,0.0,2.03,2000,2.6
D. Helm,0.0,1.74,2600,2.8
D. Raddysh,0.0,0.95,2000,2.6
P. Francouz,0.0,0.45,9400,0
B. Elliott,0.0,0.31,8800,0
B. Katchouk,3.0,0.00,4600,0
B. Seabrook,4.4,0.00,2000,0
J. Barron,4.3,0.00,2000,0
A. Sustr,2.5,0.00,2000,0
K. Sherwood,3.3,0.00,2000,0
J. Gross,3.1,0.00,2000,0
I. Sorokin,14.8,13.73,9600,12.6
C. McDavid,12.0,8.60,11200,14.5
M. Barzal,9.0,9.33,8400,6
L. Draisaitl,11.8,7.86,10600,16.8
D. Nurse,9.5,8.07,8800,7.3
M. Smith,10.9,11.82,10000,31.4
E. Bouchard,8.6,8.53,8600,0
E. Kane,8.7,7.92,8000,4.5
O. Wahlstrom,8.0,7.90,6000,7.3
N. Dobson,8.9,8.41,8200,7.1
B. Nelson,8.7,7.18,7800,2.8
A. Lee,7.5,8.05,7400,4.5
R. Nugent-Hopkins,8.3,6.67,7600,1.5
J. Pageau,5.8,6.65,5200,3
R. Pulock,5.1,6.34,7000,22.4
Z. Hyman,7.9,6.07,7200,13
S. Mayfield,4.8,6.28,5800,3
J. Puljujarvi,6.4,4.92,6600,19
T. Barrie,6.5,4.90,6200,1.5
J. Bailey,6.3,6.30,2000,7.8
K. Yamamoto,5.3,4.61,4800,10.5
C. Ceci,5.8,4.52,5000,10
K. Palmieri,5.5,3.24,2800,0
Z. Parise,5.7,6.60,2000,5.8
R. Johnston,2.9,3.33,2600,0
A. Pelech,5.3,4.35,5600,4.3
W. Foegele,5.3,3.74,4600,0
Z. Chara,4.7,4.27,4400,1.3
W. Lagesson,2.9,2.09,4000,1.5
A. Greene,3.7,2.06,2000,9.7
C. Clutterbuck,3.7,2.19,2000,4.3
D. Shore,3.0,1.39,2000,0
C. Cizikas,4.0,2.85,2000,1.5
R. McLeod,3.7,1.56,2000,6.9
M. Martin,3.6,2.10,3800,3
D. Ryan,2.6,1.21,4200,1.5
A. Beauvillier,8.1,0.00,5400,11.5
M. Niemelainen,2.6,0.72,2000,4.3
T. Benson,2.6,0.74,2400,0
S. Skinner,0.0,0.50,10000,0
S. Varlamov,0.0,0.71,9600,0
S. Aho,4.3,0.00,2000,0
K. Bellows,6.1,0.00,2000,0
B. Perlini,3.9,0.00,3200,0
K. Turris,2.6,0.00,3400,0
M. Giordano,0.0,9.25,8800,9.3
J. McCann,0.0,9.38,9400,4.5
J. Gibson,15.9,11.96,11800,2.1
T. Terry,9.7,8.69,8600,9.3
C. Driedger,0.0,11.87,11000,12.3
R. Rakell,8.0,7.92,8000,10
J. Eberle,0.0,7.41,8400,13
T. Zegras,9.1,6.96,9000,6.5
A. Henrique,8.0,6.85,7200,1.5
Y. Gourde,0.0,8.63,5800,10
K. Shattenkirk,6.4,6.33,8200,4.1
C. Fowler,7.8,6.95,7600,1.5
R. Getzlaf,5.5,7.19,7400,5.8
J. Silfverberg,6.0,6.59,5000,17
V. Dunn,0.0,7.72,6200,14.1
H. Lindholm,7.1,6.58,7800,2.8
C. Jarnkrok,0.0,7.46,5600,7.8
R. Donato,0.0,8.29,4400,27.5
J. Drysdale,5.1,4.97,7000,8
A. Larsson,0.0,5.40,6000,3
S. Carrick,5.5,2.54,2000,0
D. Grant,4.9,2.98,2000,9.3
A. Wennberg,0.0,6.00,4800,1.3
M. Comtois,5.2,3.93,3800,0
J. Mahura,3.1,5.20,2000,1.3
I. Lundestrom,4.3,2.52,4600,20
M. Appleton,0.0,5.21,3000,1.5
N. Deslauriers,3.7,2.13,2000,1.5
J. Lauzon,0.0,3.74,2200,9.9
C. Blackwell,0.0,2.61,2000,1.5
J. Oleksiak,0.0,2.24,2800,1.5
A. Czarnik,0.0,1.96,2600,6.5
S. Benoit,3.0,1.19,2000,4.1
S. Steel,3.9,1.73,3200,1.3
R. Sheahan,0.0,1.37,2000,9.1
M. Geekie,0.0,2.09,3400,5
H. Fleury,0.0,2.37,4000,9.7
S. Milano,7.2,0.00,5400,0
M. Johansson,0.0,3.22,6400,0
P. Grubauer,0.0,0.61,11200,0
A. Stolarz,0.0,0.60,11600,0
J. Manson,4.5,0.00,2000,0
B. Kindopp,4.1,0.00,2000,0
G. Pateryn,4.1,0.00,2000,0
B. Robinson,3.9,0.00,2000,4.3
J. Perreault,3.9,0.00,2000,0
B. Rafferty,3.6,0.00,2000,0
B. Guhle,3.3,0.00,2000,0
B. Groulx,3.0,0.00,2000,0
M. Murray,11.7,14.01,9800,20.5
D. Pastrnak,13.1,13.97,10800,15
J. Swayman,15.5,10.85,10400,31
T. Hall,7.9,10.47,8200,4.1
B. Tkachuk,8.7,9.76,9200,10.5
T. Stutzle,0.0,8.36,8400,1.5
T. Chabot,7.6,8.13,9400,12
C. McAvoy,9.1,8.00,8800,4.3
J. DeBrusk,6.3,6.99,6000,0
A. Formenton,6.1,7.01,7000,1.5
C. Smith,6.4,6.45,7800,6
C. Coyle,6.1,6.65,7600,16.8
M. Reilly,6.2,5.36,6200,9.9
C. Brown,7.3,6.71,6600,9.9
T. Ennis,5.3,5.94,5000,3
N. Paul,5.8,6.98,7200,1.5
B. Carlo,4.5,5.07,6400,1.5
E. Haula,5.5,6.05,5800,11.4
A. Gaudette,5.7,3.03,5200,5.8
A. Zub,4.5,5.01,7400,0
T. Frederic,4.2,3.35,2800,11.5
N. Holden,4.2,4.62,4800,4.1
E. Brannstrom,4.3,5.47,4400,4.3
P. Bergeron,12.6,0.00,9400,0
N. Foligno,4.3,3.23,2000,6.9
N. Zaitsev,3.7,4.64,5600,8.2
A. Watson,3.3,2.48,2000,4.1
T. Nosek,4.4,2.66,4600,1.3
D. Gambrell,3.2,1.13,2000,1.5
B. Marchand,10.8,0.00,10000,0
C. Tierney,3.8,1.94,2000,1.5
Z. Sanford,0.0,5.71,2000,1.5
J. Brown,3.1,1.21,3000,3
C. Lazar,4.2,2.22,2600,12.8
A. Blidh,3.0,1.61,3800,10.8
C. Clifton,3.9,1.10,3200,0
D. Forbort,3.5,2.04,3600,4.1
J. Studnicka,0.0,3.30,3400,4.5
U. Vaakanainen,4.4,0.00,5400,0
M. Kastelic,4.7,0.58,2000,0
A. Forsberg,0.0,0.65,10000,0
L. Ullmark,0.0,0.60,10600,0
J. Ahcan,3.2,0.00,4000,1.3
S. Fogarty,3.6,0.00,2000,0
M. Del Zotto,4.8,0.00,2000,0
L. Thomson,4.7,0.00,2000,0
J. Moore,5.5,0.00,2000,0
V. Mete,3.1,0.00,2400,0
J. Bernard-Docker,3.1,0.00,2000,0
L. Shaw,2.6,0.00,2000,0
S. Varlamov,12.4,14.68,9800,0
J. Markstrom,15.8,11.82,10400,12.3
M. Tkachuk,11.8,8.73,9400,6.5
M. Barzal,6.9,7.44,9000,5
N. Dobson,6.8,7.20,8600,25.1
E. Lindholm,9.4,7.39,9600,12.6
J. Gaudreau,9.3,7.49,10200,10
O. Kylington,6.1,5.76,7400,5
B. Nelson,6.4,6.14,8200,2.8
B. Coleman,6.2,7.14,6600,6
R. Pulock,5.7,5.96,7800,7.1
A. Lee,6.6,6.45,7600,1.3
Z. Parise,5.4,5.54,4800,6.5
N. Hanifin,6.6,5.14,6400,17.9
M. Backlund,6.9,6.62,7000,6
A. Mangiapane,7.6,5.77,6800,11.5
R. Andersson,7.9,5.67,8000,12.1
J. Bailey,5.8,5.04,5000,9.9
A. Beauvillier,5.9,3.33,6200,3
Z. Chara,4.1,3.86,2000,3
J. Pageau,5.8,2.74,5600,16.3
S. Monahan,6.3,4.38,5200,3
S. Mayfield,4.2,5.27,6000,0
O. Wahlstrom,8.1,6.51,7200,9.3
C. Clutterbuck,4.3,3.42,2000,0
C. Tanev,4.8,4.30,5400,11.3
A. Pelech,5.3,4.01,5800,4.3
A. Ruzicka,4.8,1.73,4000,15
C. Cizikas,3.4,2.20,2600,1.3
N. Zadorov,5.4,1.67,2800,8
M. Lucic,4.1,1.83,3400,5
R. Johnston,1.8,2.42,2400,1.3
A. Greene,4.1,1.93,3800,4.1
M. Martin,2.8,1.81,4200,2.8
T. Lewis,3.5,2.13,4400,6.5
E. Gudbranson,4.2,1.80,2000,12.8
D. Dube,4.2,1.64,3000,1.5
I. Sorokin,0.0,0.70,10000,-0.7
B. Ritchie,2.2,0.96,4600,0
D. Vladar,0.0,0.49,10200,0
K. Bellows,4.7,0.00,2000,0
M. Stone,5.2,0.00,2000,0
S. Aho,4.6,0.00,3200,0
B. Richardson,2.9,0.00,2000,0
K. Palmieri,4.1,0.00,3600,0
T. Pitlick,2.4,0.00,2200,0
N. MacKinnon,12.8,14.46,10800,11
D. Kuemper,12.1,13.84,9200,30.3
M. Rantanen,14.4,13.17,10400,14.5
G. Landeskog,10.7,11.23,8000,12.8
M. Pacioretty,13.7,10.23,8600,4.3
J. Eichel,6.1,10.95,8200,1.5
S. Theodore,8.4,9.39,7800,4.3
N. Kadri,11.6,9.23,9800,3
L. Brossoit,11.4,8.80,10000,9.1
D. Toews,9.3,8.57,7400,9.3
C. Makar,10.4,7.82,8400,13
A. Burakovsky,8.6,7.22,6200,1.3
A. Pietrangelo,9.4,7.05,7600,12.9
R. Smith,8.6,6.86,5800,6
V. Nichushkin,9.5,6.56,7000,4.3
J. Audy-Marchessault,9.4,6.44,7200,12
C. Stephenson,5.7,7.14,5400,5.8
S. Girard,5.8,6.88,6000,11
W. Karlsson,6.5,6.27,5600,2.8
N. Hague,6.1,6.23,4600,12.3
B. McNabb,4.7,6.45,4000,9.5
E. Dadonov,0.0,6.91,5000,4.5
M. Janmark,5.0,4.64,2400,6.9
A. Newhook,5.8,4.28,3600,1.3
N. Roy,7.1,3.07,4200,0
E. Johnson,6.2,2.88,5200,7.1
B. Howden,4.9,2.88,2000,6.9
N. Patrick,4.7,2.85,3400,0
J. Johnson,4.1,2.98,2000,1.3
J. Compher,5.2,2.57,4400,3
L. O'Connor,5.3,2.41,2000,1.5
W. Carrier,4.8,2.33,2200,0
B. Hutton,3.6,2.48,3200,4.3
T. Jost,4.8,2.11,2800,2.6
N. Aube-Kubel,4.7,1.68,2000,2.6
D. Coghlan,0.0,2.09,3800,0
D. Helm,3.9,1.52,2000,0
K. MacDermid,1.7,1.44,2000,1.3
K. Kolesar,4.9,0.00,2000,0
M. Amadio,4.2,0.00,3000,0
P. Francouz,0.0,0.58,9200,0
J. Gross,3.9,0.00,2000,0
J. Rondbjerg,3.8,0.00,2000,0
J. Barron,3.8,0.00,2000,0
R. Murray,3.3,0.00,2000,0
J. Leschyshyn,3.0,0.00,2000,0
K. Sherwood,2.9,0.00,2000,0
L. Thompson,0.0,0.34,9800,0
N. MacKinnon,15.3,16.73,10400,24
M. Rantanen,14.6,15.24,9800,19.5
D. Kuemper,13.9,15.21,10800,15.8
G. Landeskog,13.2,12.89,8200,1.5
A. Tuch,10.4,10.45,8400,10.8
N. Kadri,13.2,10.66,9200,19
D. Toews,10.7,9.37,7600,9.1
C. Makar,12.2,8.93,8800,8
T. Thompson,9.9,8.57,8600,36
A. Burakovsky,8.5,8.27,6600,1.5
D. Tokarski,11.0,8.14,9400,7.7
J. Skinner,8.3,7.67,8000,17.3
V. Nichushkin,9.1,7.36,7000,8
S. Girard,7.4,7.57,6800,2.6
R. Dahlin,8.0,6.40,7200,9.3
K. Okposo,8.2,5.24,5600,5.8
V. Olofsson,7.2,5.31,5400,5.6
H. Jokiharju,6.3,5.41,5800,1.3
D. Cozens,6.0,5.12,6000,6
P. Krebs,4.2,4.92,2000,1.5
C. Fitzgerald,4.2,4.58,5000,3
A. Newhook,7.4,2.78,4600,14.3
E. Johnson,5.9,2.98,5200,6.9
L. O'Connor,5.9,3.00,3000,1.5
J. Compher,6.0,2.80,2200,14.3
J. Johnson,4.3,2.95,2000,9.3
R. Hagg,4.2,2.34,2000,0
M. Pysyk,4.2,2.31,2000,1.3
R. Asplund,5.4,2.00,2000,3
T. Jost,4.6,2.09,2000,3
M. Jankowski,4.1,1.90,4200,0
J. Bryson,4.6,1.78,2000,4.3
D. Helm,4.1,1.69,2000,1.5
C. Eakin,4.0,1.66,4400,0
N. Aube-Kubel,4.0,1.66,2600,6.5
K. MacDermid,2.3,1.70,2000,0
J. Hayden,2.4,1.65,2000,0
A. Bjork,2.3,1.59,4000,1.5
J. Barron,5.1,0.00,2000,0
J. Gross,4.5,0.00,2000,0
M. Samuelsson,3.9,0.00,4800,5
A. Ruotsalainen,4.1,0.00,2000,0
E. Prow,4.1,0.00,2000,0
R. Murray,3.9,0.00,2000,5.6
K. Sherwood,3.7,0.00,2000,0
B. Murray,3.5,0.00,2000,0
P. Francouz,0.0,0.66,10600,0
C. Anderson,0.0,0.40,9600,0
R. MacInnis,2.7,0.00,2000,0
I. Sorokin,14.4,16.65,11200,12.5
A. Hammond,10.5,11.17,10400,20
A. Lee,7.5,9.10,8200,4.3
M. Barzal,8.8,10.88,9400,0
N. Dobson,7.7,9.41,10000,3
B. Nelson,8.1,8.93,8400,21.8
A. Beauvillier,7.2,8.71,6200,3
R. Pulock,5.1,8.12,8600,7.1
C. Caufield,4.9,7.93,7600,11
K. Bellows,5.9,8.10,4600,11
N. Suzuki,8.0,6.58,9000,10.8
M. Hoffman,7.1,7.38,7800,1.5
B. Gallagher,6.9,6.58,7400,2.8
S. Mayfield,4.4,6.03,7200,2.8
J. Petry,6.1,5.82,8000,14.1
A. Pelech,5.3,4.82,6600,0
K. Palmieri,5.5,7.35,3200,13
O. Wahlstrom,8.1,5.07,7000,0
J. Anderson,4.8,5.37,5400,12.8
Z. Parise,4.7,3.77,2000,7.8
R. Pitlick,3.4,3.70,2200,4.3
J. Pageau,5.5,7.12,2000,5.8
B. Kulak,4.5,3.96,2000,5
A. Romanov,4.1,3.96,2000,4.3
J. Evans,4.3,4.30,3800,11.8
Z. Chara,4.2,4.37,2000,11.2
P. Byron,4.1,3.23,5800,3
C. Wideman,4.2,2.72,5600,0
S. Aho,4.8,3.14,3600,6.5
C. Cizikas,3.6,2.74,5000,0
A. Lehkonen,5.4,2.98,3400,2.8
R. Poehling,3.9,1.84,2000,7.8
K. Clague,4.4,1.32,3000,0
C. Clutterbuck,2.8,2.64,4800,1.5
L. Dauphin,3.4,1.46,2000,1.5
M. Martin,3.3,2.33,4000,2.8
C. Dvorak,5.9,0.00,6400,0
A. Greene,3.7,0.00,4200,0
T. Pitlick,2.2,0.00,5200,0
S. Varlamov,0.0,0.86,11000,0
C. Schneider,0.0,0.71,11000,0
C. Price,0.0,0.55,10400,0
S. Montembeault,0.0,0.39,10600,0
J. Armia,3.8,0.00,2000,0
C. Paquette,1.9,0.00,2000,0
J. Bailey,6.1,0.00,2000,6.5
J. Dea,5.2,0.00,2000,0
R. Johnston,2.6,0.00,2400,0
M. Pezzetta,3.0,0.00,2800,1.5
I. Shesterkin,14.9,16.26,11000,22.8
M. Zibanejad,12.2,12.71,10000,16.8
A. Panarin,11.9,13.00,8600,16.5
R. Strome,8.9,8.87,8000,19.3
F. Gustavsson,11.2,10.18,10400,14.7
A. Fox,10.5,9.28,9400,7.3
B. Tkachuk,8.7,9.72,9200,6
C. Brown,5.9,8.30,7400,4.5
J. Trouba,7.9,8.18,8200,9.9
C. Kreider,12.1,6.11,8400,8.6
A. Formenton,5.2,7.54,7000,3
T. Stutzle,0.0,7.79,7800,14.5
B. Goodrow,6.6,7.04,6200,4.5
A. Gaudette,6.9,5.66,5200,8
N. Paul,5.7,6.63,7600,5.6
A. Lafreniere,5.1,5.94,5400,1.5
R. Lindgren,5.7,5.21,5800,9.9
A. Zub,4.8,4.49,7200,5.6
K. Miller,5.2,5.35,4800,1.5
N. Zaitsev,4.1,4.51,6600,7.8
N. Holden,4.5,5.22,5600,2.8
F. Chytil,5.7,6.10,2000,4.3
E. Brannstrom,5.4,4.51,5000,4.1
T. Chabot,7.8,0.00,9000,0
B. Schneider,4.6,2.10,4200,6.3
V. Mete,3.3,3.32,2000,1.3
T. Ennis,4.4,2.70,2000,4.3
A. Watson,3.3,2.13,3400,2.6
J. Gauthier,4.9,1.92,2000,2.8
P. Kelly,3.1,2.19,2000,4.5
Z. Jones,0.0,2.35,2000,0
G. McKegg,3.3,1.63,2600,0
C. Tierney,4.0,2.10,2000,1.5
J. Brown,3.3,1.56,4400,1.5
R. Reaves,3.0,1.79,2400,1.3
K. Rooney,4.3,2.35,3200,3
D. Hunt,4.2,1.85,3000,0
D. Gambrell,3.3,1.27,4000,0
Z. Sanford,0.0,2.83,3800,2.8
C. Bishop,2.0,0.00,4600,0
A. Georgiev,0.0,0.59,10800,0
A. Forsberg,0.0,0.50,10600,0
J. Tinordi,2.3,0.00,2000,0
M. Del Zotto,4.6,0.00,2000,0
N. Lundkvist,4.0,0.00,2000,0
L. Hajek,3.5,0.00,2200,0
L. Shaw,2.4,0.00,2000,0
T. Gettinger,2.1,0.00,2000,0
M. Barron,2.6,0.00,3600,0
L. Thomson,4.9,0.00,2000,0
J. Brodzinski,3.2,0.00,2000,0
D. Heatherington,3.0,0.00,2800,0
J. Bernard-Docker,2.8,0.00,2000,0
J. Oettinger,15.6,13.75,10600,9.8
J. Robertson,12.3,13.83,9200,7.3
J. Pavelski,14.0,11.56,10400,9.3
R. Hintz,13.3,12.24,9800,11.5
T. Seguin,8.7,12.28,8400,6
J. Chychrun,7.5,9.36,8200,4.3
S. Wedgewood,10.4,9.36,9800,24.9
J. Benn,8.5,8.65,7800,3
J. Klingberg,8.3,9.12,7600,12.9
C. Keller,8.7,9.25,8800,19.5
D. Gurianov,8.5,8.42,6600,3
M. Heiskanen,8.6,8.11,8000,13.6
S. Gostisbehere,6.8,7.01,7400,10.8
N. Schmaltz,6.8,6.48,5000,24.5
L. Crouse,5.6,5.83,6000,11.3
P. Kessel,8.0,6.46,6400,7.1
E. Lindell,6.8,6.50,7200,7.1
R. Suter,7.2,6.56,7000,4.5
T. Boyd,4.9,5.45,5800,4.5
A. Galchenyuk,6.3,5.65,4800,1.5
A. Radulov,5.4,5.19,6200,1.3
A. Stralman,4.8,4.39,5400,4.3
B. Hayton,3.9,5.21,3600,2.6
J. Moser,5.4,3.87,4600,1.5
L. Glendening,4.6,3.01,2400,4.1
M. Raffl,4.3,5.28,2800,1.3
D. Mayo,5.3,4.35,5200,7.8
J. Kiviranta,3.3,2.38,2000,0
K. Capobianco,4.1,1.37,4400,1.5
J. Hakanpaa,3.8,1.40,2000,0
R. Faksa,4.5,2.33,2000,1.5
A. Ladd,3.4,1.74,3200,1.3
L. O'Brien,2.3,1.46,2000,1.5
C. Fischer,2.9,2.45,3800,3
L. Eriksson,3.7,1.93,3000,0
A. Roussel,3.1,1.79,2000,2.6
J. Peterson,4.3,1.48,2000,1.3
J. Larsson,4.3,0.00,5600,0
R. Nash,2.8,0.00,4000,0
B. Holtby,0.0,0.62,10400,0
K. Vejmelka,0.0,0.52,10000,0
T. Harley,3.2,0.63,2000,1.5
V. Soderstrom,3.4,0.00,2000,0
R. Damiani,5.2,0.00,2000,0
J. Jenik,4.9,0.00,2000,0
T. Dellandrea,4.3,0.00,2000,0
J. Hanley,2.5,0.00,3400,0
T. Kero,2.8,0.00,2000,0
R. Gardner,2.8,0.00,2000,0
V. Kolyachonok,2.7,0.00,2000,0
C. McDavid,15.0,12.37,10600,4.5
K. Kahkonen,15.0,12.53,9800,16.5
L. Draisaitl,15.7,11.50,9800,11
M. Zuccarello,11.3,9.87,8200,16.5
R. Nugent-Hopkins,9.6,8.87,7000,12.3
E. Kane,10.8,9.40,6600,10
K. Fiala,9.2,10.37,8000,31
M. Smith,9.3,9.75,10200,-11.9
J. Eriksson Ek,10.9,8.34,7400,13
D. Nurse,9.1,8.85,8400,7.3
K. Kaprizov,14.4,9.87,9400,9.5
Z. Hyman,8.0,8.26,6200,17.8
R. Hartman,9.5,7.52,8800,6.3
J. Spurgeon,7.5,8.09,7200,5.6
F. Gaudreau,5.6,6.38,5600,8
E. Bouchard,8.3,6.94,7800,2.6
M. Boldy,0.0,8.46,7600,15
J. Brodin,7.9,7.17,6400,14.7
T. Barrie,6.9,6.48,5800,6
C. Ceci,6.0,5.12,5000,1.3
J. Greenway,5.7,5.16,4400,1.5
A. Goligoski,6.0,4.83,5200,0
K. Yamamoto,4.7,5.37,4600,1.5
J. Benn,4.0,4.37,3000,0
N. Sturm,6.0,2.88,2000,0
W. Foegele,5.7,4.37,2400,4.5
M. Foligno,8.7,3.26,4800,2.6
R. McLeod,3.9,3.09,2200,9.5
W. Lagesson,3.0,2.86,2000,6.3
D. Kulikov,4.8,1.85,4000,5
B. Perlini,4.2,1.89,4200,0
B. Duhaime,3.4,1.61,2000,10
C. Dewar,3.4,2.20,2000,11.5
D. Ryan,3.9,1.75,2000,3
J. Merrill,4.4,2.09,2000,2.6
M. Niemelainen,3.8,1.12,2600,2.8
T. Benson,2.6,0.73,3200,10
P. Broberg,3.5,0.75,2000,1.3
M. Dumba,7.6,0.00,2000,0
C. Talbot,0.0,0.56,10000,0
M. Koskinen,0.0,0.41,10000,-2.1
D. Shore,3.5,0.00,2000,0
C. Addison,5.3,0.00,3400,0
J. Lizotte,4.2,0.00,2000,0
N. Bjugstad,4.1,0.00,2000,5
K. Turris,3.4,0.00,2800,0
C. Sceviour,3.1,0.00,2000,0
K. Czuczman,2.8,0.00,2000,0
T. Demko,15.7,13.98,11200,16.5
C. Garland,9.2,8.83,7400,3
J. Miller,11.1,10.61,9600,17.3
E. Pettersson,7.5,9.26,7800,15.8
B. Horvat,9.3,9.65,8600,14.5
Q. Hughes,8.5,8.50,8800,15.5
P. Grubauer,0.0,13.76,10800,0
B. Boeser,7.9,9.21,9200,4.5
M. Giordano,0.0,8.97,9000,18.9
O. Ekman-Larsson,6.5,7.47,8200,1.5
J. McCann,0.0,9.12,7600,23.5
T. Pearson,7.2,6.27,5600,19
J. Eberle,0.0,7.84,8000,8
T. Myers,5.3,6.92,7200,12.5
V. Dunn,0.0,7.89,6000,4.3
Y. Gourde,0.0,7.46,5800,3
T. Hamonic,4.4,5.97,6600,17.1
C. Jarnkrok,0.0,6.63,7000,0
R. Donato,0.0,7.28,5200,1.5
N. Hoglander,6.2,5.04,4800,4.5
T. Motte,4.7,3.62,2400,19.3
J. Dickinson,4.1,3.92,2000,1.5
A. Larsson,0.0,5.56,6400,4.3
M. Johansson,0.0,5.18,6200,8
A. Wennberg,0.0,5.90,4400,0
L. Schenn,5.1,2.55,5000,8.4
B. Hunt,4.3,2.92,2000,9.7
J. Donskoi,0.0,5.57,2200,7
M. Appleton,0.0,5.02,3600,4.5
V. Podkolzin,4.6,1.30,3400,13
J. Lammikko,3.3,2.25,3200,14.1
J. Oleksiak,0.0,2.26,2000,0
M. Highmore,4.5,1.81,2000,6.3
M. Geekie,0.0,2.53,2000,1.5
J. Lauzon,0.0,4.20,2800,2.6
R. Sheahan,0.0,1.64,2000,7
C. Blackwell,0.0,2.74,3800,4.5
C. Soucy,0.0,2.14,4200,1.3
J. Halak,0.0,0.67,11000,0
C. Driedger,0.0,0.66,10600,17.7
A. Sautner,4.0,0.00,2000,0
A. Chiasson,5.0,0.00,2000,0
N. Juulsen,3.2,0.00,2000,0
S. Rempal,3.1,0.00,2000,0
T. Meier,10.6,13.73,10000,27.8
A. Stolarz,15.4,11.51,10600,26.5
J. Reimer,13.4,9.76,10400,9.7
L. Couture,8.1,9.63,7200,29.9
T. Hertl,9.3,11.26,8200,12.9
T. Terry,10.3,9.67,8400,1.5
B. Burns,7.9,10.08,9200,34.8
T. Zegras,8.8,6.65,9800,8
A. Barabanov,5.5,6.80,5800,12
J. Silfverberg,5.8,6.29,5600,4.5
A. Henrique,7.8,6.73,7600,9.5
N. Bonino,4.8,6.68,5000,1.5
R. Rakell,7.3,6.97,7800,30.5
K. Shattenkirk,7.0,6.49,8600,5.6
R. Getzlaf,6.7,6.76,6800,2.6
C. Fowler,8.3,5.88,8000,16.4
S. Milano,8.1,5.05,6000,3
H. Lindholm,6.3,5.59,7400,1.3
J. Drysdale,5.9,4.77,7000,4.3
J. Middleton,4.5,5.62,4600,8.2
M. Ferraro,5.2,5.09,5400,6.9
N. Meloche,4.0,4.73,2000,5.6
I. Lundestrom,5.8,2.36,5200,2.8
N. Gregor,5.2,4.14,4800,13.3
R. Balcers,5.1,5.41,2000,3
M. Comtois,4.5,3.18,3600,0
D. Grant,4.4,2.91,2400,10
S. Carrick,3.8,2.75,2000,6.5
M. Nieto,3.3,2.26,3000,5
N. Deslauriers,2.7,2.48,2000,8
J. Mahura,2.9,1.49,2600,1.3
R. Simek,3.2,1.54,4000,1.3
M. Vlasic,3.4,1.41,2000,0
A. Cogliano,3.5,2.09,3800,1.5
J. Weatherby,2.8,1.46,2000,0
S. Benoit,3.0,1.15,3200,2.8
J. Gadjovich,1.3,1.67,4200,1.3
J. Manson,5.0,0.00,4400,0
A. Hill,0.0,0.61,10200,0
J. Gibson,0.0,0.56,10800,0
Z. Sawchenko,0.0,0.44,10200,0
J. Dahlen,6.2,0.00,2000,0
S. Steel,4.5,0.00,2000,0
N. Merkley,4.4,0.00,2000,0
R. Merkley,4.2,0.00,2000,0
A. Raksa,4.0,0.00,2000,0
B. Rafferty,3.8,0.00,2000,0
J. Perreault,3.6,0.00,2000,0
G. Pateryn,3.4,0.00,2000,0
J. Viel,2.7,0.00,3400,0
B. Robinson,3.3,0.00,2000,0
B. Kindopp,3.2,0.00,2000,0
B. Guhle,3.1,0.00,2000,0
B. Groulx,2.9,0.00,2000,0
N. Kucherov,11.2,14.32,10000,19.5
A. Vasilevskiy,14.9,14.33,9800,14.4
C. McDavid,15.1,11.36,10800,27.5
L. Draisaitl,13.5,10.72,9600,20.8
B. Point,13.4,11.42,9000,10
M. Smith,8.9,9.40,9200,-1.4
V. Hedman,11.8,8.46,8800,5.6
E. Kane,10.6,8.76,7400,0
S. Stamkos,12.6,8.88,8600,13
D. Nurse,9.6,8.12,8400,5.8
R. Nugent-Hopkins,9.1,8.25,7000,10.5
O. Palat,9.4,8.14,6800,6.5
Z. Hyman,9.0,7.77,7200,17.8
A. Killorn,10.3,7.81,6400,10.8
M. Sergachev,6.9,8.50,6600,11.3
E. Bouchard,7.5,6.37,7800,5.6
R. Colton,7.1,7.70,3600,0
R. McDonagh,6.2,6.74,5400,2.6
T. Barrie,7.2,5.92,6200,8
